device_name_in_vd,day,batch,ip,org,package_name,package_info,Model
ABC-cpe29,2,3,10.12.64.117,ABC,felxvnf-16.1R1S3-sathish,versa-flexvnf-20171107-024119-e51d9e9-16.1R1-wsm,800
ABC-cpe27,2,4,10.12.64.117,ABC,flexvnf-16.1R1S1-sathish2,versa-flexvnf-20171013-152148-7774a5a-16.1R1-wsm,800
ABC-cpe26,3,3,10.12.64.116,ABC,felxvnf-16.1R1S3-sathish,versa-flexvnf-20171107-024119-e51d9e9-16.1R1-wsm,800
ABC-cpe28,1,1,10.12.64.116,ABC,felxvnf-16.1R1S3-sathish,versa-flexvnf-20171107-024119-e51d9e9-16.1R1-wsm,800
ABC-cpe29,2,5,10.12.64.117,ABC,felxvnf-16.1R1S3-sathish,versa-flexvnf-20171107-024119-e51d9e9-16.1R1-wsm,800
ABC-cpe26,1,2,10.12.64.116,ABC,felxvnf-16.1R1S3-sathish,versa-flexvnf-20171107-024119-e51d9e9-16.1R1-wsm,800
ABC-cpe27,1,2,10.12.64.117,ABC,felxvnf-16.1R1S3-sathish,versa-flexvnf-20171107-024119-e51d9e9-16.1R1-wsm,800
ABC-cpe35,3,3,10.12.64.117,ABC,felxvnf-16.1R1S3-sathish,versa-flexvnf-20171107-024119-e51d9e9-16.1R1-wsm,800
ABC-cpe36,3,3,10.12.64.117,ABC,felxvnf-16.1R1S3-sathish,versa-flexvnf-20171107-024119-e51d9e9-16.1R1-wsm,800
CPE-8,5,1,20.20.15.8,IPC00011,FlexVNF-16.1R2S2.2-wsm,versa-flexvnf-20180508-110517-d1653f6-16.1R2S2.2-wsm,800
CPE-18,5,1,20.20.15.18,IPC00011,FlexVNF-16.1R2S2.2,versa-flexvnf-20180508-112757-d1653f6-16.1R2S2.2,510
CPE-26,4,1,20.20.15.26,IPC00011,FlexVNF-16.1R2S2.1-wsm,versa-flexvnf-20180412-152733-9703fae-16.1R2S2.1-wsm,800
CPE-27,4,1,20.20.15.27,IPC00011,FlexVNF-16.1R2S2.2-wsm,versa-flexvnf-20180508-110517-d1653f6-16.1R2S2.2-wsm,800
CPE-27,5,1,20.20.15.27,IPC00011,FlexVNF-16.1R2S2.1-wsm,versa-flexvnf-20180412-152733-9703fae-16.1R2S2.1-wsm,800
CPE-26,5,1,20.20.15.26,IPC00011,FlexVNF-16.1R2S2.2-wsm,versa-flexvnf-20180508-110517-d1653f6-16.1R2S2.2-wsm,800
ABC-cpe26,5,5,10.12.64.116,ABC,flexvnf-16.1R1S1-sathish2,versa-flexvnf-20171013-152148-7774a5a-16.1R1-wsm,800
SAT000026,6,1,20.20.15.26,IPC00011,FlexVNF-16.1R2S2.2,versa-flexvnf-20180508-112757-d1653f6-16.1R2S2.2,800
