cpe,upgrade,interface,bgp_nbr_match,route_match,config_match
CPE19,CPE out-of sync.
CPE22HKG-HYBRID,CPE out-of sync.
CPE23-SIN-HYBRID,CPE out-of sync.
CPE-14,device already running with same package
CPE1-SIN-HYBRID,device already running with same package
CPE16-SIN-MPLSONLY,device already running with same package
CPE19-Test,device already running with same package
CPE20,device already running with same package
CPE-50,Failed to upgrade - versa-flexvnf-20190628-153900-80561de-16.1R2S9 to versa-flexvnf-20190628-153930-80561de-16.1R2S9-wsm,OK,OK,OK,OK
CPE25-Performance-DUT,Failed to upgrade - versa-flexvnf-20190628-153900-80561de-16.1R2S9 to versa-flexvnf-20190628-153930-80561de-16.1R2S9-wsm,OK,OK,OK,OK
CPE7,CPE out-of sync.
CPE5,device already running with same package
CPE6,device already running with same package
CPE8,device already running with same package
UCPE3,device already running with same package
UCPE7,device already running with same package
CPE26-HKG2-DUAL-HYB-IPC00194,Failed to upgrade - versa-flexvnf-20190628-153900-80561de-16.1R2S9 to versa-flexvnf-20190628-153930-80561de-16.1R2S9-wsm,OK,OK,OK,OK
CPE27-HKG2-SINGLE-CPE-DUAL-INTERNET18,Failed to upgrade - versa-flexvnf-20190628-153900-80561de-16.1R2S9 to versa-flexvnf-20190628-153930-80561de-16.1R2S9-wsm,OK,OK,OK,OK
CPE31-Performance-810,Failed to upgrade - versa-flexvnf-20190628-153900-80561de-16.1R2S9 to versa-flexvnf-20190628-153930-80561de-16.1R2S9-wsm,OK,OK,OK,OK
CPE4-SIN-HYBRID,Failed to upgrade - versa-flexvnf-20190628-153900-80561de-16.1R2S9 to versa-flexvnf-20190628-153930-80561de-16.1R2S9-wsm,OK,OK,OK,OK
